Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"R1,R2",R_0402_1005Metric,2,5.1k,
2,"LED1,LED5,LED4,LED2,LED3",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,5,WS2812B-2020,
3,"R4,R3",R_0402_1005Metric,2,27,
4,"C6,C7,C9,C4,C15,C5,C13,C8,C14,C2,C3",C_0402_1005Metric,11,0.1uF,
5,"J3,J1",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
6,U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
7,R7,R_0402_1005Metric,1,10k,
8,"C16,C17",C_0402_1005Metric,2,33pF,
9,"C1,C12",C_0402_1005Metric,2,1uF,
10,R5,R_0402_1005Metric,1,330,
11,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
12,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
13,"R6,R8",R_0402_1005Metric,2,1k,
14,"C10,C11",C_0603_1608Metric,2,10uF,
15,U2,SOT-23,1,MCP1700x-330xxTT,
16,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
17,J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
18,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
