Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,135.73,-102.7075,180,top
C2,0.1uF,C_0402_1005Metric,135.44,-106.94,-90,top
C3,0.1uF,C_0402_1005Metric,140.47,-101.09,90,top
C4,0.1uF,C_0402_1005Metric,141.39,-101.09,90,top
C5,0.1uF,C_0402_1005Metric,143.27,-101.13,90,top
C6,0.1uF,C_0402_1005Metric,144.23,-101.4875,90,top
C7,0.1uF,C_0402_1005Metric,145.17,-102.8275,90,top
C8,0.1uF,C_0402_1005Metric,145.59,-107.5,0,top
C9,0.1uF,C_0402_1005Metric,141.05,-111.08,0,top
C10,10uF,C_0603_1608Metric,137.925,-87.48,180,top
C11,10uF,C_0603_1608Metric,142.55,-88.74,90,top
C12,1uF,C_0402_1005Metric,145.64,-100.9675,0,top
C13,0.1uF,C_0402_1005Metric,143.1,-111.7,0,top
C14,0.1uF,C_0402_1005Metric,142.32,-101.0975,90,top
C15,0.1uF,C_0402_1005Metric,145.86,-91.15,0,top
C16,33pF,C_0402_1005Metric,137.03,-113.1175,90,top
C17,33pF,C_0402_1005Metric,142.32,-113.1275,90,top
J1,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,131.77,-80.25,0,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,138.06,-128.27,90,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,149.43,-80.25,0,top
J4,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,140.6,-81.42,180,top
LED1,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,140.4875,-120.07,0,top
LED2,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,140.485,-117.57,0,top
LED3,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,137.2975,-120.08,0,top
LED4,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,140.4875,-122.57,0,top
LED5,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,143.6675,-120.1,0,top
R1,5.1k,R_0402_1005Metric,144.3,-87.26,0,top
R2,5.1k,R_0402_1005Metric,144.29,-88.29,0,top
R3,27,R_0402_1005Metric,137.23,-88.86,0,top
R4,27,R_0402_1005Metric,146.58,-101.9475,0,top
R5,330,R_0402_1005Metric,145.21,-106.1075,-90,top
R6,1k,R_0402_1005Metric,138.11,-97.6,0,top
R7,10k,R_0402_1005Metric,137.8,-90.68,90,top
R8,1k,R_0402_1005Metric,138.95,-110.8775,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,135.38,-97.38,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,140.48,-106.1875,0,top
U2,MCP1700x-330xxTT,SOT-23,140.0275,-89.24,90,top
U3,W25Q16JVSS,SOIC-8_5.3x5.3mm_P1.27mm,141.96,-94.15,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,139.68,-113.39,0,top
